Back to Content
Table C1.
List of candidate stream member stars from the GDR2 catalogue, having passed all our 7 cuts. They are compatible with the best-fitting phase-space density model of the tidal stream of NGC 3201 and its H–R diagram from GDR2 after dust extinction correction.
N	source_id	π	δ	α	μδ	μα*	GBP − GRP	G	χsel
(mas)	(deg)	(deg)	(mas yr−1)	(mas yr−1)	(mag)	(mag)	(yr3 deg−2 pc−1 mas−3)
55	2937577417936027008	0.2063	−22.4331	93.8184	−20.6428	22.4657	0.7654	17.5514	1.1616E–01
56	2936748248729371008	0.3291	−22.9566	95.0570	−21.4088	23.8275	0.7250	16.8219	2.2029E–02
57	2937679290262547584	0.0609	−21.8367	95.3396	−20.4362	22.4033	0.9023	18.3712	8.8452E–03
58	2924361047651213184	0.3045	−24.2864	96.6325	−20.8322	23.3102	0.6946	17.0423	1.1522E–01
59	2923332351444848896	0.2326	−25.4506	98.1197	−18.9226	21.7545	0.8182	16.1500	5.3253E–02
60	2919762198531603456	0.2841	−27.6668	98.8488	−18.8438	22.7615	0.9272	18.1750	5.9658E–03
61	2923457523971828480	0.3593	−25.2914	99.9176	−20.4000	23.7148	0.8881	18.0914	1.4250E–02
62	2919619949213987200	0.2580	−27.6074	100.5084	−19.2244	22.0807	0.9075	18.6624	2.2055E–02
63	2918864520305483264	0.4388	−27.7485	101.3058	−18.7304	22.2778	0.9241	18.1616	1.3436E–01
64	2918802226100396032	0.3037	−27.9478	101.8551	−18.4146	21.9682	1.1722	18.6582	8.6932E–02
65	2919192204830525312	0.1634	−27.5619	102.0146	−18.6500	22.3833	0.7739	16.7921	8.5157E–02
66	5608974194743618304	0.1431	−29.0134	103.0615	−18.4799	22.6030	0.9807	17.2841	6.2600E–03
67	5604401257167040896	0.1817	−31.3957	106.9045	−16.2835	21.7660	0.9967	18.2635	5.6973E–03
68	5604387551929978624	0.1216	−31.4825	107.4312	−15.7999	21.3128	0.8960	17.8501	2.8356E–02
69	5604416031855199360	0.2044	−31.2087	107.7262	−16.2320	21.3956	1.0559	17.4261	3.0635E–02
70	5605860210317910656	0.1027	−31.2627	108.2240	−16.1830	21.3612	0.8866	18.1165	5.1754E–03
71	5605025887150553344	0.2347	−31.7202	109.0093	−15.7407	21.4371	0.8631	17.5631	1.4133E–02
72	5587654118824699136	−0.0611	−35.6350	115.3624	−13.8094	19.3400	1.7499	20.5729	1.1787E–03
