dr2_source_id,dr3_source_id,angular_distance,magnitude_difference,ra,dec,ra_error,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,radial_velocity,radial_velocity_error
3225088713480594304,3225088713480594304,0.031027714,-0.0124845505,72.54614053738332,-3.0705624030065826,0.027583191,0.018899426,0.18285493755150556,0.035732675,19.76239744283462,0.040842917,-20.749357794212795,0.033536717,15.677291,,
1506844779940816384,1506844779940816384,0.069023766,-0.025920868,214.88896787746424,46.791421253865494,0.07823846,0.096059054,0.18701588039039352,0.11795424,0.7969393264143894,0.09612605,5.321277366056188,0.12795755,18.244568,,
2919619949213987200,2919619949213987200,0.093954,-0.026475906,100.50838948156884,-27.60736153977889,0.09536695,0.1186391,0.38268222770845994,0.15364875,22.251910285887604,0.1317069,-18.712635897916993,0.14815314,18.63591,,
2984359674895283072,2984359679191359360,0.15859105,-0.021087646,83.5001736904317,-14.788254303934721,0.09175767,0.08647802,0.5071661428349663,0.13952832,21.845476276818744,0.13155822,-22.179429678454596,0.1332582,18.455154,,
3691856546503440128,3691856546503440128,0.25284174,-0.023801804,195.55111747616866,1.7067205358462634,0.19358599,0.13413838,0.3738717977843665,0.21473548,-2.930095069079201,0.28441954,3.4558744194729454,0.22015029,18.831175,,
1456842495802767744,1456842495802767744,0.07614211,-0.019052505,205.71513982570823,32.32779224358012,0.049359735,0.04423089,0.16710676904799143,0.07305922,-0.7458170155680778,0.05204195,5.194064555400986,0.053276483,17.376898,,
2966413828356833152,2966413828356833152,0.11974537,-0.018070221,88.80245374901,-19.50507969192977,0.04038213,0.051511843,0.2177502406510341,0.071916796,23.447823271965973,0.06730985,-22.29291659789792,0.07186986,17.33446,,
3689436968086686592,3689436968086686592,0.04033582,-0.032995224,195.51298074250602,0.15430238235795857,0.29213855,0.203484,0.3043345915735548,0.32881436,-2.0429123281990194,0.3933129,2.5876103696262494,0.35858303,19.352041,,
3677279569234130048,3677279569234130048,0.19117633,-0.068035126,193.62152835046513,-6.617730499160479,0.51669264,0.29910836,-0.029228100761654434,0.5214821,-2.657803492947569,0.75193024,3.0695818462012023,0.54142904,20.102924,,
1603928701735870336,1603928701735870336,0.12699161,-0.03214836,219.6809427323706,50.48729995014257,0.09542571,0.09796993,0.20575815746980863,0.1141777,0.46430753215973364,0.11845142,4.820066431096306,0.13134083,18.471577,,
3212479479773005696,3212479479773005696,0.029656133,-0.015558243,73.68049880816315,-5.249250008255582,0.050852858,0.03805866,0.2959401883971149,0.072590545,21.550701557950838,0.07184147,-22.584252727379095,0.05371867,17.00703,,
3496403270742208768,3496403270742208768,0.08820992,-0.025096893,190.16612867700113,-26.58093593709854,0.19940038,0.1419214,-0.020974387501929197,0.25228798,-2.5707994626267436,0.30861673,1.5128926221715815,0.1914687,18.877516,,
2923332351444848896,2923332351444848896,0.028814116,-0.013744354,98.11972151192317,-25.450627310761433,0.019302407,0.027774246,0.251600177070012,0.03374701,21.763854924915204,0.026267776,-18.95512425074866,0.035036456,16.136292,,
3692071982062671872,3692071982062671872,0.1369853,-0.029266357,195.83283511267103,2.663941716997785,0.26346868,0.16199163,0.3592841720052622,0.34752032,-2.1584893198199415,0.3412428,3.5868269052378046,0.35287273,18.976484,,
3496426983257641216,3496426983257641216,0.059874445,-0.011995316,189.54543296155043,-26.562732755498345,0.02837027,0.021431481,0.14288375404428452,0.034113012,-2.787347856234319,0.04246876,1.7664472982912804,0.027340861,15.474791,,
3225714404316322048,3225714404316322048,0.033863235,-0.016317368,72.01532904101597,-3.316772530774395,0.07885168,0.051273923,0.44776228852076916,0.100428745,18.948769823914315,0.11159418,-20.192919723488515,0.08746592,17.574522,,
3182335646943552000,3182335646943552000,0.06696604,-0.012805939,75.98634141756202,-9.87774618058943,0.050255105,0.04480215,0.3766025910275237,0.07255039,22.85831841282367,0.06808908,-23.584068448359037,0.05738684,17.086994,,
3283707732806011776,3283707732806011776,0.023467647,-0.014858246,66.04085614230861,3.879515709114546,0.060619302,0.0455516,0.35569652968176674,0.070449956,16.41098169696772,0.071428515,-17.134786739655468,0.055771887,16.837841,,
1496266863902585728,1496266863903110912,0.2375687,-0.018594742,209.3918691139307,39.5427285856403,0.068225496,0.08470066,0.13033134129873528,0.12089419,-0.06045267954746891,0.082052164,5.251795016017434,0.106700055,18.235725,,
1605773136787896320,1605773136787896320,0.23112555,-0.042215347,221.9906482993916,52.94021805414055,0.1326551,0.13438348,0.024260615264535837,0.15103176,1.5962988865593626,0.15616775,4.5390858509789975,0.16760051,18.882528,,
1456411624683879296,1456411624683879296,0.02068938,-0.027484894,205.56676595098256,30.77123330661688,0.16141246,0.118916,0.3716667423123293,0.223285,-1.2081571203255441,0.2522349,5.1285735347885275,0.14476153,18.801743,,
1628882805322936192,1628882805322936192,0.24109808,-0.02553749,248.54020231656744,63.769238922664535,0.29351586,0.28836352,0.06195402255423496,0.30682835,3.874452278886998,0.35032192,3.2846464447435606,0.3988421,19.614195,,
3690547165593837312,3690547165593837312,0.032432877,-0.016925812,193.04666837759922,1.4787219401933764,0.09608073,0.051282685,0.28008593924513425,0.10723013,-3.0126867096235688,0.12774335,3.3265943148706865,0.101574644,17.57749,,
60185926474933632,60185926474933632,0.025299089,-0.011726379,46.0006379737019,20.102426661623994,0.13871221,0.11751312,0.362214459758096,0.15038666,8.558251469343581,0.17627259,-8.031272658976135,0.15130062,18.18795,,
1602451748381843840,1602451748381843840,0.14107016,-0.029893875,230.11316444478373,57.02428301336941,0.14097911,0.16150485,0.18717574256910033,0.15693665,2.552030094749621,0.16899738,4.657048611888875,0.21362093,18.888372,,
3302763471907603840,3302763471907603840,0.05091284,-0.015504837,57.216337232270774,10.090496836219133,0.083151914,0.05652143,0.23060013763924883,0.09571602,14.470548706418555,0.11660588,-15.403507197651425,0.078216396,17.45215,,
1603533873982622592,1603533873982622592,0.3072075,-0.044021606,219.01803846344694,49.93134035418441,0.26136047,0.28260708,0.4218100337885396,0.353908,0.7558320175162185,0.30663422,4.638370245028748,0.33389676,19.837917,,
3690382170130121984,3690382170130121984,0.13806653,-0.028438568,194.37947110428655,1.392927252803061,0.2683814,0.14519812,0.4437510839772906,0.3181796,-2.377562978408098,0.4784153,3.558753855823169,0.44039318,19.06993,,
2967375007681446784,2967375007681446784,0.099051476,-0.015314102,87.60766728575845,-18.631898870507488,0.041386403,0.055694036,0.3390197259395698,0.07609873,24.362827426511576,0.065567024,-23.548870937166615,0.07713755,17.579714,,
1443127570010678400,1443127570010678400,0.19114624,-0.03425789,201.7463707543315,22.84531553108597,0.23025377,0.19452251,0.08269724657155345,0.32111144,-1.5452431469106653,0.34321764,4.812587265128274,0.26858747,19.396566,,
1446439500896662016,1446439500896662016,0.3750225,-0.031742096,201.56755224968083,24.51452823166912,0.27514154,0.19770846,0.020143570663301802,0.35211936,0.27668881506071513,0.47504613,4.924843963422747,0.29426762,19.580585,,
